Flex1,Flex2,Flex3,Flex4,Flex5,Label
402,49,217,168,244,3.5
398,50,217,168,241,3.5
400,48,217,169,241,3.5
400,49,217,169,241,3.5
402,50,218,167,241,3.5
400,48,219,169,241,3.5
403,50,217,207,241,3.5
399,48,217,211,239,3.5
400,47,217,167,240,3.5
402,45,216,165,240,3.5
398,48,217,211,237,3.5
399,47,218,211,238,3.5
399,49,217,166,236,3.5
403,50,216,167,235,3.5
400,51,219,167,223,3.5
403,51,217,169,227,3.5
400,54,217,168,236,3.5
400,50,218,205,233,3.5
403,51,218,206,239,3.5
398,50,217,192,240,3.5
401,51,217,166,238,3.5
401,50,216,166,238,3.5
404,51,219,167,237,3.5
402,52,218,168,241,3.5
400,51,219,167,236,3.5
399,51,218,168,236,3.5
402,48,217,167,238,3.5
399,52,218,168,237,3.5
403,49,218,167,237,3.5
404,48,218,219,241,3.5
400,51,217,213,241,3.5
403,48,219,220,241,3.5
403,50,220,165,243,3.5
401,51,217,167,244,3.5
402,51,217,166,244,3.5
400,50,217,168,244,3.5
401,51,216,165,243,3.5
403,50,217,166,244,3.5
403,52,219,167,244,3.5
403,52,218,168,243,3.5
403,49,219,169,245,3.5
401,51,218,169,246,3.5
400,49,217,168,243,3.5
399,51,217,167,243,3.5
403,50,218,167,244,3.5
401,50,218,168,245,3.5
400,52,217,168,243,3.5
403,51,218,168,242,3.5
400,50,217,168,241,3.5
401,50,217,167,242,3.5
403,50,218,167,241,3.5
404,53,217,167,240,3.5
401,51,217,170,239,3.5
403,51,217,169,236,3.5
402,52,219,169,236,3.5
401,50,218,171,237,3.5
400,53,217,168,236,3.5
400,48,217,171,237,3.5
403,50,218,166,238,3.5
405,51,218,168,238,3.5
401,53,218,169,237,3.5
403,51,219,169,236,3.5
402,53,219,170,238,3.5
402,51,218,168,236,3.5
402,50,218,168,238,3.5
401,52,217,234,238,3.5
401,52,217,235,237,3.5
403,53,218,234,239,3.5
401,53,219,235,238,3.5
402,53,219,234,238,3.5
402,53,219,235,238,3.5
399,53,219,235,239,3.5
400,51,218,236,238,3.5
400,51,218,235,238,3.5
400,52,218,234,237,3.5
401,51,217,234,237,3.5
400,52,217,234,236,3.5
402,51,218,235,236,3.5
402,52,218,236,236,3.5
403,52,219,235,236,3.5
401,52,219,234,238,3.5
403,50,220,235,239,3.5
402,51,219,235,239,3.5
402,49,219,234,237,3.5
399,51,218,235,238,3.5
400,52,218,234,235,3.5
401,53,218,234,237,3.5
404,52,219,234,237,3.5
400,54,220,235,235,3.5
403,52,218,234,236,3.5
401,51,219,233,237,3.5
400,54,219,235,238,3.5
403,52,216,233,237,3.5
403,54,218,234,238,3.5
400,53,219,235,236,3.5
403,52,219,235,237,3.5
400,53,220,234,238,3.5
401,51,218,235,237,3.5
401,52,217,234,237,3.5
401,52,218,234,237,3.5
401,52,219,233,236,3.5
400,50,218,235,236,3.5
402,53,218,235,236,3.5
401,52,218,235,236,3.5
399,53,218,235,237,3.5
404,52,219,235,237,3.5
402,54,219,236,236,3.5
398,50,219,235,234,3.5
403,49,218,234,234,3.5
400,52,219,234,235,3.5
401,53,219,234,236,3.5
399,51,218,234,237,3.5
401,52,219,234,236,3.5
404,54,220,235,237,3.5
406,50,220,235,236,3.5
400,51,219,235,236,3.5
399,52,218,234,236,3.5
401,51,218,234,233,3.5
402,51,218,234,233,3.5
401,50,219,233,232,3.5
404,50,220,234,236,3.5
402,52,220,236,234,3.5
400,50,219,234,236,3.5
398,52,218,234,236,3.5
402,50,217,233,239,3.5
405,50,219,233,236,3.5
404,51,218,234,235,3.5
402,50,220,235,237,3.5
404,53,220,235,238,3.5
401,52,220,235,238,3.5
400,50,219,235,236,3.5
400,49,218,232,234,3.5
402,52,218,233,230,3.5
401,50,218,233,232,3.5
401,49,220,233,231,3.5
403,52,219,233,232,3.5
403,52,219,233,231,3.5
403,51,220,232,220,3.5
401,49,220,233,232,3.5
402,52,219,233,235,3.5
402,49,218,231,231,3.5
401,49,219,232,230,3.5
401,50,219,231,230,3.5
401,52,220,231,237,3.5
403,52,219,231,236,3.5
402,50,220,231,235,3.5
398,51,219,230,235,3.5
400,50,218,231,235,3.5
400,51,218,230,237,3.5
400,50,218,229,238,3.5
400,52,218,230,238,3.5
400,53,220,229,237,3.5
403,54,220,228,242,3.5
402,51,219,228,241,3.5
400,51,220,229,240,3.5
399,54,219,229,243,3.5
400,51,218,227,239,3.5
401,51,219,227,240,3.5
401,52,219,227,240,3.5
402,53,219,228,240,3.5
403,52,220,228,241,3.5
401,53,220,230,242,3.5
403,52,219,228,241,3.5
402,49,219,228,242,3.5
402,49,219,227,241,3.5
400,51,218,228,240,3.5
400,50,219,225,242,3.5
401,50,219,227,243,3.5
404,52,219,227,243,3.5
401,50,219,226,244,3.5
400,51,220,228,243,3.5
400,51,218,229,243,3.5
401,50,218,228,243,3.5
400,50,218,227,242,3.5
402,52,217,228,243,3.5
401,51,218,226,243,3.5
404,50,220,226,243,3.5
403,53,219,225,244,3.5
399,51,220,226,244,3.5
400,53,220,226,243,3.5
398,51,219,224,241,3.5
399,52,219,223,241,3.5
399,50,218,226,240,3.5
403,52,218,226,240,3.5
403,52,220,226,240,3.5
402,53,220,228,243,3.5
401,52,218,226,241,3.5
401,52,221,226,241,3.5
399,54,220,226,242,3.5
401,51,220,227,242,3.5
400,53,218,226,242,3.5
400,52,219,227,241,3.5
402,52,219,224,239,3.5
400,54,220,226,240,3.5
402,52,218,225,240,3.5
402,53,221,226,241,3.5
399,51,220,226,241,3.5
401,51,219,228,241,3.5
